index wavelength species expot  loggf logeps e_stat       eqw     e_eqw  fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
  286   4966.089    26.0 3.329  -0.79  6.388  0.054    96.504     2.671 0.176  0.101 -0.071 -0.078  0.010 0.146 0.100 0.185 29.118
  287   4973.102    26.0 3.960  -0.69  6.245  0.041    60.019     2.140 0.177  0.077 -0.002 -0.038  0.007 0.086 0.100 0.138 52.334
  289   4980.173    28.0 3.603   0.07  4.760  0.046    57.597     2.371 0.188  0.072  0.016 -0.035  0.013 0.083 0.100 0.138 52.768
  290   4985.253    26.0 3.926  -0.44  6.023  0.058    62.763     2.793 0.169  0.078  0.003 -0.043  0.007 0.089 0.100 0.146 46.825
  292    4994.13    26.0 0.914  -2.97  6.299  0.076   113.844     3.353 0.186  0.167 -0.035 -0.116 -0.020 0.207 0.100 0.242 17.022
  293   4997.097    22.0 0.000  -2.07  4.061  0.051    38.784     2.819 0.177  0.149  0.001 -0.013  0.000 0.150 0.100 0.187 28.593
  294   4998.224    28.0 3.603   -0.7  4.840  0.052    23.333     2.142 0.170  0.070  0.033 -0.008  0.013 0.079 0.100 0.138 52.835
  295   4999.503    22.0 0.825   0.32  3.810  0.063    99.409     2.847 0.178  0.143 -0.036 -0.090 -0.015 0.173 0.100 0.210 22.707
  296   5001.864    26.0 3.882  -0.01  6.032  0.060    87.253     2.878 0.178  0.085 -0.045 -0.071  0.008 0.120 0.100 0.167 35.770
  297   5005.167    22.1 1.565  -2.73  4.067  0.050    29.186     2.377 0.162 -0.001  0.214 -0.009  0.051 0.220 0.100 0.247 16.399
  298   5005.712    26.0 3.884  -0.12  6.056  0.063    81.409     2.776 0.176  0.084 -0.022 -0.072  0.005 0.113 0.100 0.163 37.427
  300   5009.645    22.0 0.021   -2.2  4.026  0.048    29.053     2.328 0.166  0.148 -0.002 -0.008  0.001 0.148 0.100 0.185 29.173
  301   5012.068    26.0 0.858   -2.6  6.448  0.052   142.231     2.903 0.192  0.168 -0.107 -0.116 -0.004 0.231 0.100 0.257 15.186
  302   5013.686    22.1 1.581  -2.14  4.123  0.061    62.077     3.127 0.187 -0.005  0.217 -0.042  0.057 0.228 0.100 0.257 15.186
  303   5014.943    26.0 3.940  -0.18  6.033  0.054    76.118     2.624 0.176  0.081 -0.024 -0.058  0.008 0.103 0.100 0.153 42.586
  304   5016.161    22.0 0.848  -0.48  3.859  0.041    62.633     2.195 0.160  0.131 -0.005 -0.036 -0.002 0.136 0.100 0.174 33.148
  305   5017.576    28.0 3.536  -0.03  4.718  0.040    54.037     2.075 0.156  0.073  0.024 -0.031  0.013 0.084 0.100 0.137 53.660
  306   5018.435    26.1 2.891   -1.1  6.248  0.033   161.277     3.182 0.242 -0.016  0.121 -0.057  0.052 0.144 0.100 0.179 31.309
  307   5020.026    22.0 0.835  -0.33  3.759  0.050    66.147     2.602 0.153  0.134 -0.005 -0.040 -0.003 0.140 0.100 0.179 31.161
  308   5022.236    26.0 3.984  -0.33  6.046  0.045    67.025     2.211 0.163  0.078 -0.010 -0.046  0.007 0.091 0.100 0.143 49.080
  309   5022.868    22.0 0.825  -0.33  3.671  0.039    62.042     2.088 0.154  0.133 -0.004 -0.035 -0.002 0.138 0.100 0.175 32.834
  310   5024.844    22.0 0.818  -0.53  3.991  0.048    68.819     2.391 0.178  0.134 -0.006 -0.045 -0.004 0.142 0.100 0.180 30.923
  311   5028.126    26.0 3.573  -1.02  6.142  0.060    59.374     2.915 0.179  0.086  0.010 -0.038  0.006 0.095 0.100 0.150 44.293
  312   5035.362    28.0 3.633   0.29  4.599  0.043    59.212     2.174 0.155  0.072  0.016 -0.036  0.013 0.083 0.100 0.137 53.319
  313   5036.464    22.0 1.442   0.14  3.916  0.052    63.229     2.651 0.191  0.117 -0.006 -0.037  0.000 0.123 0.100 0.167 35.973
  314   5038.398    22.0 1.429   0.02  3.725  0.060    46.854     3.256 0.144  0.115 -0.002 -0.020  0.003 0.117 0.100 0.165 36.712
  315   5039.957    22.0 0.021  -1.08  3.873  0.053    80.591     2.515 0.163  0.157 -0.009 -0.065 -0.014 0.171 0.100 0.205 23.832
  320   5064.653    22.0 0.048  -0.94  3.825  0.092    83.683     4.024 0.180  0.158 -0.009 -0.068 -0.015 0.173 0.100 0.220 20.679
  322   5079.224    26.0 2.196   -2.1  6.459  0.102    96.885     4.716 0.167  0.128 -0.023 -0.089 -0.006 0.158 0.100 0.213 22.087
