index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
  249   4736.773    26.0 3.209  -0.67  5.696  0.060   108.112     3.084  0.177  0.128 -0.066 -0.070 -0.027 0.162 0.100 0.200 25.019
  250   4756.515    28.0 3.477  -0.27  4.211  0.043    41.741     2.592  0.166  0.095  0.002 -0.013 -0.003 0.096 0.100 0.145 47.490
  252   4763.883    22.1 1.220   -2.4  3.659  0.046    89.741     2.546  0.185  0.012  0.185 -0.046  0.066 0.202 0.100 0.230 18.883
  253   4764.525    22.1 1.236  -2.69  3.515  0.035    62.304     2.363  0.164  0.014  0.191 -0.020  0.071 0.205 0.100 0.231 18.746
  254   4772.804    26.0 1.556   -2.9  5.626  0.051    95.514     2.714  0.183  0.176 -0.031 -0.057 -0.035 0.191 0.100 0.221 20.403
  255   4786.535    28.0 3.417  -0.18  4.368  0.056    61.865     3.587  0.198  0.098 -0.005 -0.023 -0.008 0.101 0.100 0.153 42.810
  259    4810.53    30.0 4.078  -0.15  2.607  0.044    44.936     2.698  0.175  0.003  0.131 -0.018  0.047 0.140 0.100 0.178 31.606
  260   4820.409    22.0 1.501  -0.38  3.626  0.045    46.318     2.766  0.195  0.147 -0.035 -0.012 -0.023 0.153 0.100 0.189 28.143
  261   4824.131    24.1 3.868  -0.92  3.757  0.063    46.539     3.617  0.150 -0.039  0.192 -0.014  0.055 0.204 0.100 0.236 17.993
  262   4831.176    28.0 3.603  -0.32  4.158  0.045    28.188     2.130  0.132  0.090  0.006 -0.006 -0.001 0.090 0.100 0.142 49.507
  263   4840.874    22.0 0.899  -0.43  3.442  0.061    79.844     3.674  0.185  0.169 -0.046 -0.034 -0.035 0.182 0.100 0.216 21.377
  264   4849.168    22.1 1.130  -2.96  3.738  0.055    68.428     3.619  0.205  0.015  0.190 -0.026  0.071 0.205 0.100 0.235 18.159
  266    4856.01    22.0 2.254   0.52  3.587  0.063    42.700     4.033  0.234  0.120 -0.035 -0.011 -0.020 0.127 0.100 0.174 33.205
  267   4864.329    24.1 3.855  -1.34  3.680  0.067    22.597     2.785  0.137 -0.031  0.191 -0.006  0.049 0.200 0.100 0.233 18.393
  268    4865.61    22.1 1.115   -2.7  3.486  0.054    69.867     3.536  0.188  0.016  0.191 -0.026  0.071 0.206 0.100 0.235 18.060
  269   4866.271    28.0 3.536  -0.22  4.119  0.051    35.610     2.924  0.187  0.092  0.006 -0.009 -0.003 0.093 0.100 0.146 47.188
  270   4870.125    22.0 2.248   0.44  3.386  0.051    27.450     2.546  0.148  0.120 -0.032 -0.006 -0.017 0.125 0.100 0.168 35.272
  271   4871.318    26.0 2.865  -0.34  5.532  0.068   142.760     4.230  0.216  0.145 -0.107 -0.079 -0.017 0.197 0.100 0.232 18.647
  272   4873.442    28.0 3.696  -0.38  4.051  0.063    16.902     2.176  0.139  0.087  0.006 -0.003  0.000 0.087 0.100 0.147 46.331
  273   4874.009    22.1 3.092  -0.86  3.195  0.066    22.450     2.767  0.139 -0.017  0.192 -0.005  0.057 0.201 0.100 0.234 18.254
  274   4885.079    22.0 1.886   0.41  3.274  0.050    44.425     3.249  0.196  0.132 -0.037 -0.011 -0.022 0.139 0.100 0.179 31.349
  276   4890.755    26.0 2.876  -0.38  5.620  0.046   145.189     2.937  0.219  0.144 -0.110 -0.078 -0.016 0.198 0.100 0.226 19.496
  277    4903.31    26.0 2.882  -0.89  5.555  0.062   112.620     3.312  0.193  0.139 -0.063 -0.071 -0.028 0.171 0.100 0.207 23.277
  278   4910.017    26.0 3.394  -1.28  5.477  0.053    47.715     3.181  0.163  0.112 -0.015 -0.014 -0.014 0.115 0.100 0.161 38.504
  279   4911.194    22.1 3.121  -0.64  3.261  0.057    34.376     3.115  0.203 -0.021  0.191 -0.009  0.058 0.201 0.100 0.232 18.651
  280   4913.613    22.0 1.872   0.22  3.284  0.043    34.745     2.526  0.164  0.132 -0.035 -0.008 -0.020 0.138 0.100 0.176 32.297
  284   4939.687    26.0 0.858  -3.25  5.853  0.078   137.701     3.911  0.204  0.220 -0.028 -0.100 -0.044 0.247 0.100 0.278 12.953
  285   4946.388    26.0 3.368  -1.11  5.544  0.033    65.379     2.158  0.166  0.116 -0.025 -0.024 -0.017 0.122 0.100 0.161 38.408
  286   4966.089    26.0 3.329  -0.79  5.630  0.072    92.605     3.937  0.174  0.123 -0.043 -0.050 -0.024 0.142 0.100 0.188 28.378
  287   4973.102    26.0 3.960  -0.69  5.565  0.048    47.562     3.040  0.173  0.096 -0.016 -0.013 -0.012 0.099 0.100 0.149 45.269
  289   4980.173    28.0 3.603   0.07  4.367  0.071    64.496     4.511  0.212  0.094 -0.004 -0.024 -0.008 0.097 0.100 0.157 40.760
  290   4985.253    26.0 3.926  -0.44  5.521  0.117    63.015     7.342  0.182  0.099 -0.022 -0.028 -0.020 0.107 0.100 0.188 28.442
  291   4991.066    22.0 0.835   0.45  3.264  0.152   124.638     7.965  0.205  0.185 -0.058 -0.079 -0.050 0.215 0.100 0.282 12.589
  292    4994.13    26.0 0.914  -2.97  5.751  0.148   143.960     7.744  0.223  0.222 -0.033 -0.102 -0.046 0.251 0.100 0.308 10.549
  295   4999.503    22.0 0.825   0.32  2.995  0.208   104.210    11.287  0.225  0.174 -0.053 -0.064 -0.051 0.199 0.100 0.305 10.747
